,Generation_ID,Active_Species,Specie_Size,Best_Genome_ID,Genome_Fitness,Genome_SpecieID,Genome_Specie_Members,Generation Average Fitness,Generation Stagnation
0,2,2,151,1288,8.980193569643774,0,528,5.0,847
1,3,6,155,2699,8.985654200610055,0,295,5.0,2
2,4,7,153,4044,8.988351521346207,0,330,5.0,448
3,5,13,159,4251,8.989623639517875,3,396,5.0,397
4,6,16,156,5687,8.990157407985619,4,131,5.0,0
5,7,20,161,6460,8.98994071190924,2,128,5.0,0
6,8,24,162,7388,8.99191958313667,2,11,5.0,0
7,9,31,169,8486,8.99283771355614,2,9,5.0,0
8,10,35,172,9166,8.99355087979525,0,99,6.0,250
9,11,39,172,10837,8.994347624251061,0,103,6.0,31
10,12,42,171,11338,8.99467339248822,0,59,6.0,147
11,13,46,175,12863,8.994911181753976,0,84,6.0,246
12,14,49,175,14104,8.99474179143868,0,47,6.0,31
13,15,55,182,15183,8.995392697354674,0,43,7.0,141
14,16,57,176,15973,8.996307341698099,0,72,6.0,1
15,17,62,184,16504,8.995352826300751,0,63,6.0,280
16,18,66,187,17568,8.99607131859535,2,18,6.0,29
17,19,67,182,19203,8.996545851244727,2,15,6.0,62
18,20,65,186,19861,9.881106795620362,60,12,7.0,92
19,21,67,184,21085,10.313712699376502,60,12,6.0,46
