,Specie ID,Average Fitness,Stagnation
0,Specie 0,7.389401322351482,847
1,Specie 1,5.661069694523693,2
2,Specie 0,8.745843688476501,448
3,Specie 1,6.367349186690356,397
4,Specie 2,6.669185757316765,0
5,Specie 3,3.9915202576390696,0
6,Specie 4,4.095478855795167,0
7,Specie 5,7.175571112727026,0
8,Specie 0,8.926885839666742,250
9,Specie 1,7.370218014997878,31
10,Specie 2,6.984667157789222,147
11,Specie 3,4.268681417305335,246
12,Specie 4,4.719688266684817,31
13,Specie 5,7.554979686506872,141
14,Specie 6,4.189896261734915,1
15,Specie 0,8.945864380315314,280
16,Specie 1,7.901551612995888,29
17,Specie 2,8.418838343977455,62
18,Specie 3,5.095164090480657,92
19,Specie 4,8.967233315617728,46
20,Specie 5,7.900614309570665,43
21,Specie 6,4.412456821037742,52
22,Specie 7,6.956108174135794,0
23,Specie 8,4.000623564444282,6
24,Specie 9,6.904656852604824,67
25,Specie 10,4.911515342538861,164
26,Specie 11,4.011404690356333,0
27,Specie 12,5.084876142643045,0
28,Specie 0,8.967405491195388,107
29,Specie 1,8.207585808148037,16
30,Specie 2,8.728005153213442,23
31,Specie 3,8.967810856934506,336
32,Specie 4,8.980628392259302,22
33,Specie 5,8.211550713173082,55
34,Specie 6,5.8705893685039054,20
35,Specie 7,7.661422018858039,69
36,Specie 8,8.687842778581933,59
37,Specie 9,7.02825822705203,44
38,Specie 10,7.959556014161755,15
39,Specie 11,4.016924202342352,20
40,Specie 12,5.793113426794924,14
41,Specie 13,7.008261091597753,28
42,Specie 14,3.9999553283057168,0
43,Specie 15,8.21837453372128,16
44,Specie 0,8.977440848852963,105
45,Specie 1,8.623411431206708,11
46,Specie 2,8.987135017519922,70
47,Specie 3,8.945192926165248,105
48,Specie 4,8.979721465997166,111
49,Specie 5,8.414833417701798,87
50,Specie 6,7.276294983217329,12
51,Specie 7,8.039403807345355,57
52,Specie 8,8.878476741216945,13
53,Specie 9,7.216071066428804,92
54,Specie 10,8.392538200674103,32
55,Specie 11,7.244245508511042,15
56,Specie 12,7.146037175038268,94
57,Specie 13,7.155901292125194,11
58,Specie 14,3.999993471080868,9
59,Specie 15,8.414769983690357,14
60,Specie 16,4.000000006277986,0
61,Specie 17,3.997117516981063,0
62,Specie 18,4.002064519099234,0
63,Specie 19,4.496471122942472,1
64,Specie 0,8.981530833976182,99
65,Specie 1,8.744891386068637,11
66,Specie 2,8.989026769328039,108
67,Specie 3,8.971264545954421,28
68,Specie 4,8.978968471664686,92
69,Specie 5,8.463643394265873,5
70,Specie 6,7.809980688876812,163
71,Specie 7,8.566657883606903,45
72,Specie 8,8.980839124852974,7
73,Specie 9,7.200730488083626,8
74,Specie 10,8.469455886917885,11
75,Specie 11,7.458962052802466,11
76,Specie 12,7.6512676784013,6
77,Specie 13,7.338950669043473,30
78,Specie 14,4.000002144443408,12
79,Specie 15,8.57960760475261,13
80,Specie 16,4.000000012007804,30
81,Specie 17,5.204549762999127,16
82,Specie 18,4.003052138779809,54
83,Specie 19,5.491118741026975,11
84,Specie 20,3.576786186637682,0
85,Specie 21,5.126120519285349,23
86,Specie 22,8.601619935976707,50
87,Specie 23,7.790967681240503,5
88,Specie 0,8.98835424285854,169
89,Specie 1,8.761504156534425,80
90,Specie 2,8.990717480130979,9
